step,ebm_gap,arm_gap
1,3.273551771021255,3.2511766209393738
50,0.6902984820924587,0.030982016695544345
100,0.03478581305153483,0.0017795489173302315
150,0.002654531992900999,0.00024936951099796545
200,0.0005031037398595117,4.0529808863709604e-05
250,0.00011524240437310596,6.2805674101440445e-06
300,2.7471675949186647e-05,8.753450106979699e-07
350,6.487252409925759e-06,1.0544031248116426e-07
400,1.4784812600865394e-06,7.072142036435025e-07
450,3.2006197070444387e-07,1.7216482461890337e-08
500,6.553054721081253e-08,8.188703048972457e-10
550,1.241478120306283e-08,2.1324453314264247e-10
600,5.214265463848733e-09,4.6741530201899195e-07
650,3.8478287223142615e-10,2.906670459879024e-09
700,2.484445538186719e-09,6.291843490657811e-09
750,7.752838371288817e-10,1.3286868494333248e-08
800,1.3482814864573811e-09,4.219891991397162e-09
850,9.753080121299718e-09,7.601094154097154e-08
900,3.603899401127819e-10,1.9297889508607113e-08
950,3.764828448993285e-09,1.0795287330722658e-07
1000,1.3212897442826943e-10,1.9078285617979418e-08
1050,8.395781847525541e-10,6.979660351902339e-07
1100,5.412888803846272e-09,6.429242471739371e-08
1150,4.923350616081734e-11,3.6588594110043005e-07
1200,7.373099464302868e-09,1.0994902766015002e-07
1250,1.0311147491393058e-09,8.976635879065498e-08
1300,5.631371813308306e-09,8.03205773891591e-07
1350,1.905440250027368e-09,1.1079030493021946e-07
1400,3.337134124592467e-09,1.6092871213402304e-07
1450,1.5637979799976165e-10,3.6647050940530335e-06
1500,4.1452885568560305e-09,1.5434106437339778e-07
1550,1.0318670362607918e-09,2.2400789401189058e-07
1600,2.5670328085425353e-09,4.6334003656056666e-07
1650,1.157122397899002e-09,1.797336679487671e-07
1700,1.0358043311953224e-09,2.4600226389281943e-07
1750,4.085078053606139e-09,2.3178646291199811e-07
1800,3.218776356561648e-09,3.510337702294919e-06
1850,1.1855760817525152e-10,4.0774667731113823e-07
1900,1.8103492038790137e-09,3.809477355787294e-07
1950,9.8208374765818e-10,3.302885334122152e-07
2000,3.401666504032619e-09,2.536073528958127e-07
2050,3.010869775721403e-09,4.334994301302686e-07
2100,2.3114061775686423e-09,2.7577059302785756e-07
2150,2.8546800479034573e-09,2.9118992994625614e-07
2200,4.088046345884777e-09,7.453254609046667e-07
2250,5.986702689142476e-09,3.5814529919520055e-07
2300,2.4849624580269847e-09,3.698742094826457e-07
2350,9.824798752333663e-10,3.64525782003966e-07
2400,1.4941736736773237e-09,3.6940138414820467e-07
2450,2.5306903239652456e-09,4.497186241181339e-07
2500,2.683172795059363e-09,5.431532130728556e-07
2550,1.3440981661005935e-09,4.594400255797382e-07
2600,1.7474128810590628e-09,5.005420682380191e-07
2650,5.547782677695068e-09,4.0076830565283217e-07
2700,1.5090702021325342e-09,6.095389197824375e-07
2750,6.328972901314955e-09,4.89543654502711e-07
2800,1.989091558129985e-09,4.140711826750021e-07
2850,5.411596504245608e-09,5.197087524777544e-07
2900,6.35759977996031e-09,4.931448795986171e-07
2950,3.6281733173382236e-09,1.262162955484314e-06
3000,6.687098874635922e-09,6.976217656884387e-07
